; frame_rate,step_x2/y2 ~ step_x8/y8(nm),1(pixel),delay_posi(nsec),delay_nega(nsec),scroll_mode(1~7)
0360,0,0,206212300,-23000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,
0365,0,0,206212300,-23000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,
0375,0,0,206212300,-23000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,
0390,0,0,206212300,-23000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,
0400,0,0,206212300,-23000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,
0415,0,0,206212300,-23000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,
0430,0,0,206212300,-23000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,
0450,0,0,206212300,-23000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,
0475,0,0,206212300,-23000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,
0500,0,0,206212300,-23000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,
0525,0,0,206212300,-23000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,
0550,0,0,206212300,-23000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,
0575,0,0,206212300,-23000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,
0600,0,0,206212300,-23000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,
0625,0,0,206212300,-23000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,
0650,0,0,206212300,-23000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,
0675,0,0,206212300,-23000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,
0700,0,0,206212300,-23000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,
0720,0,0,206212300,-23000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,
0740,0,0,206212300,-23000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,
0750,0,0,206212300,-23000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,
0775,0,0,206212300,-23000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,
0800,0,0,206212300,-23000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,
0825,0,0,206212300,-23000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,
0850,0,0,206212300,-23000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,
0875,0,0,206212300,-23000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,
0900,0,0,206212300,-23000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,
0925,0,0,206212300,-23000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,
0950,0,0,206212300,-23000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,
0975,0,0,206212300,-23000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,
0999,0,0,90000000,0,180000000,0,270000000,0,360000000,0,450000000,0,0,0,0,0,2,0,0,1,
; 2022-11-08 PH 누수 교체
;0999,0,0,206045900,70000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,
; 2021-10-06 
;0120,0,0,205978100,68400,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,
; 2021-09-30 
;0000,0,0,205908500,19100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,
