0,0,0,0,0,0,0,0,0,0,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0.015,0.015,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.015,0.015,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0.015,0.015,0.017,0.017,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.017,0.017,0.015,0.015,0,0,0,0,0,0,
0,0,0,0,0,0.015,0.015,0.017,0.02,0.02,0.02,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.02,0.02,0.02,0.017,0.015,0.015,0,0,0,0,0,
0,0,0,0,0.015,0.017,0.017,0.02,0.02,0.025,0.025,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.025,0.025,0.02,0.02,0.017,0.017,0.015,0,0,0,0,
0,0,0,0.015,0.017,0.017,0.02,0.025,0.025,0.03,0.03,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.03,0.03,0.025,0.025,0.02,0.017,0.017,0.015,0,0,0,
0,0,0.015,0.015,0.017,0.02,0.025,0.025,0.03,0.035,0.035,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.035,0.035,0.03,0.025,0.025,0.02,0.017,0.015,0.015,0,0,
0,0,0.015,0.017,0.02,0.025,0.025,0.03,0.035,0.035,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.035,0.035,0.03,0.025,0.025,0.02,0.017,0.015,0,0,
0,0.015,0.017,0.02,0.02,0.025,0.03,0.035,0.04,0.04,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.04,0.04,0.035,0.03,0.025,0.02,0.02,0.017,0.015,0,
0,0.015,0.017,0.02,0.025,0.03,0.035,0.035,0.04,0.05,0.06,0.06,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.06,0.06,0.05,0.04,0.035,0.035,0.03,0.025,0.02,0.017,0.015,0,
