0.0000
0.0000
0.0000
105
62
 +218.9201, +729.0454, +0.0000, +0.0000,
 +223.7601, +729.0454, -0.0003, -0.0007,
 +228.6001, +729.0454, -0.0013, -0.0010,
 +233.4401, +729.0454, -0.0011, -0.0009,
 +238.2801, +729.0454, -0.0015, -0.0011,
 +243.1201, +729.0454, -0.0015, -0.0007,
 +247.9601, +729.0454, -0.0012, -0.0010,
 +252.8001, +729.0454, -0.0005, -0.0012,
 +257.6401, +729.0454, +0.0019, -0.0015,
 +262.4801, +729.0454, +0.0001, -0.0014,
 +267.3201, +729.0454, +0.0004, -0.0011,
 +272.1601, +729.0454, +0.0002, -0.0006,
 +277.0001, +729.0454, +0.0004, -0.0005,
 +281.8401, +729.0454, +0.0016, -0.0002,
 +286.6801, +729.0454, +0.0017, -0.0001,
 +291.5201, +729.0454, +0.0024, -0.0001,
 +296.3601, +729.0454, +0.0032, -0.0002,
 +301.2001, +729.0454, +0.0033, +0.0001,
 +306.0401, +729.0454, +0.0033, -0.0001,
 +310.8801, +729.0454, +0.0031, -0.0002,
 +315.7201, +729.0454, +0.0027, +0.0001,
 +320.5601, +729.0454, +0.0032, -0.0001,
 +325.4001, +729.0454, +0.0038, +0.0001,
 +330.2401, +729.0454, +0.0046, +0.0001,
 +335.0801, +729.0454, +0.0055, +0.0006,
 +339.9201, +729.0454, +0.0054, +0.0006,
 +344.7601, +729.0454, +0.0049, +0.0003,
 +349.6001, +729.0454, +0.0046, +0.0009,
 +354.4401, +729.0454, +0.0040, +0.0005,
 +359.2801, +729.0454, +0.0035, +0.0010,
 +364.1201, +729.0454, +0.0040, +0.0011,
 +368.9601, +729.0454, +0.0040, +0.0007,
 +373.8001, +729.0454, +0.0048, +0.0005,
 +378.6401, +729.0454, +0.0052, +0.0005,
 +383.4801, +729.0454, +0.0053, +0.0008,
 +388.3201, +729.0454, +0.0057, +0.0008,
 +393.1601, +729.0454, +0.0055, +0.0009,
 +398.0001, +729.0454, +0.0046, +0.0011,
 +402.8401, +729.0454, +0.0042, +0.0010,
 +407.6801, +729.0454, +0.0041, +0.0015,
 +412.5201, +729.0454, +0.0045, +0.0012,
 +417.3601, +729.0454, +0.0046, +0.0009,
 +422.2001, +729.0454, +0.0050, +0.0009,
 +427.0401, +729.0454, +0.0052, +0.0009,
 +431.8801, +729.0454, +0.0045, +0.0002,
