LED1,365,LED2,385,LED3,395,LED4,405
INDEX,POWER,INDEX,POWER,INDEX,POWER,INDEX,POWER
50,0.1576,50,0.1634,50,0.1343,50,0.1796
100,0.2410,100,0.1746,100,0.1621,100,0.2281
150,0.3319,150,0.2284,150,0.2015,150,0.3022
200,0.5477,200,0.2757,200,0.2412,200,0.3760
250,0.6693,250,0.3239,250,0.2811,250,0.4449
300,0.8066,300,0.3710,300,0.3774,300,0.5139
350,0.9533,350,0.4194,350,0.3646,350,0.5809
400,1.0851,400,0.4647,400,0.4853,400,0.7584
450,1.2123,450,0.5102,450,0.5293,450,0.8359
500,1.3315,500,0.7264,500,0.5778,500,0.9213
550,1.4405,550,0.7863,550,0.6316,550,0.9999
600,1.5117,600,0.8525,600,0.6823,600,1.0930
650,1.5085,650,0.9123,650,0.7359,650,1.1762
700,1.5109,700,0.9834,700,0.7932,700,1.2776
750,1.5160,750,1.0515,750,0.8457,750,1.3589
800,1.4880,800,1.1207,800,0.8919,800,1.4482
850,1.4902,850,1.2007,850,0.9390,850,1.5341
900,1.4933,900,1.2669,900,0.9836,900,1.6150
950,1.4869,950,1.3275,950,1.0286,950,1.7024
1000,1.4894,1000,1.3914,1000,1.0706,1000,1.7814
1050,1.4896,1050,1.4617,1050,1.1125,1050,1.8724
1100,1.4863,1100,1.5251,1100,1.1521,1100,1.9564
1150,1.4869,1150,1.5887,1150,1.1912,1150,2.0464
1200,1.4866,1200,1.6521,1200,1.2238,1200,2.1354
1250,1.4828,1250,1.7102,1250,1.2601,1250,2.2260
1300,1.4862,1300,1.7710,1300,1.2904,1300,2.3158
1350,1.4851,1350,1.8342,1350,1.3103,1350,2.3153
1400,1.4862,1400,1.8920,1400,1.2817,1400,2.2502
1450,1.4823,1450,1.9487,1450,1.2832,1450,2.2596
1500,1.4821,1500,2.0077,1500,1.2852,1500,2.2584
1550,1.4803,1550,2.0622,1550,1.2862,1550,2.2597
1600,1.4806,1600,2.1137,1600,1.2843,1600,2.2624
1650,1.4773,1650,2.1565,1650,1.2838,1650,2.2569
1700,1.4785,1700,2.0964,1700,1.2873,1700,2.2549
1750,1.4742,1750,2.1623,1750,1.2863,1750,2.2589
1800,1.4766,1800,2.1040,1800,1.2874,1800,2.2631
1850,1.4811,1850,2.1025,1850,1.2849,1850,2.2638
1900,1.4823,1900,2.1028,1900,1.2848,1900,2.2614
1950,1.4812,1950,2.1017,1950,1.2865,1950,2.2618
2000,1.4764,2000,2.1032,2000,1.2868,2000,2.2641
