LED1,365,LED2,385,LED3,395,LED4,405
INDEX,POWER,INDEX,POWER,INDEX,POWER,INDEX,POWER
50,0.1669,50,0.1797,50,0.1357,50,0.1925
100,0.2615,100,0.2678,100,0.1534,100,0.2116
150,0.4479,150,0.3543,150,0.1977,150,0.2760
200,0.5950,200,0.4445,200,0.2387,200,0.3413
250,0.7351,250,0.6763,250,0.2754,250,0.3978
300,0.8904,300,0.7884,300,0.3681,300,0.4607
350,1.0357,350,0.9020,350,0.3534,350,0.5145
400,1.1739,400,1.0311,400,0.4687,400,0.5710
450,1.3070,450,1.1605,450,0.5135,450,0.7237
500,1.4293,500,1.2785,500,0.5608,500,0.8040
550,1.4971,550,1.3925,550,0.6128,550,0.8707
600,1.4918,600,1.5079,600,0.6600,600,0.9422
650,1.4844,650,1.6177,650,0.7100,650,1.0077
700,1.4852,700,1.7240,700,0.7690,700,1.0846
750,1.4598,750,1.8270,750,0.8192,750,1.1584
800,1.4666,800,1.9285,800,0.8644,800,1.2401
850,1.4636,850,2.0260,850,0.9087,850,1.3169
900,1.4628,900,2.0618,900,0.9524,900,1.3905
950,1.4688,950,2.0653,950,0.9959,950,1.4622
1000,1.4592,1000,2.0470,1000,1.0365,1000,1.5373
1050,1.4609,1050,2.0172,1050,1.0794,1050,1.6069
1100,1.4595,1100,2.0058,1100,1.1184,1100,1.6775
1150,1.4574,1150,2.0077,1150,1.1532,1150,1.7440
1200,1.4526,1200,2.0058,1200,1.1906,1200,1.8213
1250,1.4568,1250,2.0061,1250,1.2252,1250,1.8914
1300,1.4538,1300,2.0055,1300,1.2309,1300,1.9655
1350,1.4562,1350,2.0014,1350,1.2140,1350,2.0401
1400,1.4526,1400,2.0040,1400,1.2062,1400,2.1233
1450,1.4570,1450,2.0000,1450,1.2107,1450,2.2016
1500,1.4463,1500,2.0040,1500,1.2029,1500,2.2749
1550,1.4529,1550,2.0019,1550,1.2058,1550,2.3543
1600,1.4526,1600,2.0008,1600,1.2014,1600,2.4051
1650,1.4536,1650,2.0030,1650,1.2045,1650,2.3309
1700,1.4473,1700,2.0009,1700,1.2051,1700,2.3940
1750,1.4526,1750,2.0050,1750,1.2090,1750,2.3367
1800,1.4456,1800,2.0010,1800,1.2064,1800,2.3380
1850,1.4574,1850,2.0052,1850,1.2073,1850,2.3349
1900,1.4479,1900,2.0006,1900,1.2085,1900,2.3390
1950,1.4460,1950,2.0028,1950,1.2058,1950,2.3329
2000,1.4495,2000,2.0017,2000,1.2079,2000,2.3352
