LED1,365,LED2,385,LED3,395,LED4,405
INDEX,POWER,INDEX,POWER,INDEX,POWER,INDEX,POWER
50,0.1809,50,0.1659,50,0.1262,50,0.1764
100,0.2799,100,0.2453,100,0.1517,100,0.2128
150,0.3913,150,0.3274,150,0.1923,150,0.2855
200,0.6578,200,0.4094,200,0.2318,200,0.3633
250,0.8245,250,0.4893,250,0.2666,250,0.4441
300,0.9994,300,0.7396,300,0.3078,300,0.5069
350,1.1529,350,0.8436,350,0.3449,350,0.5219
400,1.2964,400,0.9548,400,0.4559,400,0.6769
450,1.4256,450,1.0737,450,0.5089,450,0.7527
500,1.4615,500,1.1986,500,0.5554,500,0.8193
550,1.4650,550,1.3091,550,0.6045,550,0.8899
600,1.4466,600,1.4194,600,0.6565,600,0.9659
650,1.4374,650,1.5234,650,0.7126,650,1.0371
700,1.4431,700,1.6288,700,0.7637,700,1.1192
750,1.4383,750,1.7301,750,0.8089,750,1.2053
800,1.4377,800,1.8321,800,0.8599,800,1.2781
850,1.4366,850,1.9272,850,0.9037,850,1.3513
900,1.4361,900,2.0198,900,0.9528,900,1.4224
950,1.4348,950,2.0971,950,0.9969,950,1.4981
1000,1.4372,1000,2.1151,1000,1.0400,1000,1.5704
1050,1.4336,1050,2.0572,1050,1.0854,1050,1.6468
1100,1.4319,1100,2.1098,1100,1.1274,1100,1.7158
1150,1.4319,1150,2.0574,1150,1.1679,1150,1.7875
1200,1.4323,1200,2.0548,1200,1.2076,1200,1.8620
1250,1.4277,1250,2.0539,1250,1.2482,1250,1.9338
1300,1.4300,1300,2.0539,1300,1.2642,1300,2.0124
1350,1.4316,1350,2.0494,1350,1.2302,1350,2.0924
1400,1.4278,1400,2.0540,1400,1.2353,1400,2.1686
1450,1.4271,1450,2.0558,1450,1.2352,1450,2.2485
1500,1.4286,1500,2.0506,1500,1.2369,1500,2.3260
1550,1.4244,1550,2.0532,1550,1.2350,1550,2.3553
1600,1.4244,1600,2.0552,1600,1.2333,1600,2.2666
1650,1.4253,1650,2.0542,1650,1.2326,1650,2.2865
1700,1.4276,1700,2.0406,1700,1.2322,1700,2.2854
1750,1.4273,1750,2.0536,1750,1.2359,1750,2.2899
1800,1.4249,1800,2.0514,1800,1.2295,1800,2.2877
1850,1.4261,1850,2.0495,1850,1.2302,1850,2.2875
1900,1.4273,1900,2.0493,1900,1.2319,1900,2.2905
1950,1.4237,1950,2.0529,1950,1.2317,1950,2.2869
2000,1.4274,2000,2.0538,2000,1.2329,2000,2.2909
