LED1,365,LED2,385,LED3,395,LED4,405
INDEX,POWER,INDEX,POWER,INDEX,POWER,INDEX,POWER
50,0.1331,50,0.1567,50,0.1195,50,0.1579
100,0.2130,100,0.2341,100,0.1427,100,0.2107
150,0.3686,150,0.3153,150,0.1766,150,0.2841
200,0.4851,200,0.3886,200,0.2149,200,0.3599
250,0.5977,250,0.4672,250,0.2460,250,0.4367
300,0.7146,300,0.5471,300,0.2839,300,0.5050
350,0.8455,350,0.8080,350,0.3149,350,0.5524
400,0.9628,400,0.9166,400,0.4469,400,0.6661
450,1.0847,450,1.0278,450,0.4928,450,0.7444
500,1.1902,500,1.1354,500,0.5339,500,0.8142
550,1.2872,550,1.2611,550,0.5838,550,0.8822
600,1.3534,600,1.3687,600,0.6343,600,0.9602
650,1.3605,650,1.4777,650,0.6864,650,1.0359
700,1.3354,700,1.5757,700,0.7417,700,1.1240
750,1.3545,750,1.6781,750,0.7857,750,1.2000
800,1.3346,800,1.7801,800,0.8381,800,1.2760
850,1.3323,850,1.8841,850,0.8817,850,1.3526
900,1.3330,900,1.9781,900,0.9236,900,1.4295
950,1.3286,950,2.0725,950,0.9697,950,1.5044
1000,1.3304,1000,2.1683,1000,1.0136,1000,1.5755
1050,1.3262,1050,2.2565,1050,1.0572,1050,1.6472
1100,1.3286,1100,2.2675,1100,1.0976,1100,1.7200
1150,1.3268,1150,2.2069,1150,1.1390,1150,1.8011
1200,1.3284,1200,2.2327,1200,1.1813,1200,1.8725
1250,1.3250,1250,2.2108,1250,1.2222,1250,1.9505
1300,1.3204,1300,2.2130,1300,1.2601,1300,2.0342
1350,1.3215,1350,2.2110,1350,1.2961,1350,2.1136
1400,1.3249,1400,2.2159,1400,1.3096,1400,2.1950
1450,1.3218,1450,2.2111,1450,1.2892,1450,2.2671
1500,1.3262,1500,2.2124,1500,1.2817,1500,2.2190
1550,1.3262,1550,2.2111,1550,1.2781,1550,2.2139
1600,1.3245,1600,2.2158,1600,1.2748,1600,2.2202
1650,1.3189,1650,2.2105,1650,1.2752,1650,2.2208
1700,1.3271,1700,2.2109,1700,1.2758,1700,2.2280
1750,1.3194,1750,2.2159,1750,1.2793,1750,2.2270
1800,1.3216,1800,2.2104,1800,1.2771,1800,2.2254
1850,1.3198,1850,2.2109,1850,1.2775,1850,2.2267
1900,1.3191,1900,2.2101,1900,1.2799,1900,2.2202
1950,1.3199,1950,2.2122,1950,1.2820,1950,2.2259
2000,1.3230,2000,2.2089,2000,1.2768,2000,2.2312
