LED1,365,LED2,385,LED3,395,LED4,405
INDEX,POWER,INDEX,POWER,INDEX,POWER,INDEX,POWER
100,0.2851,100,0.2597,100,0.1862,100,0.2388
200,0.6115,200,0.3881,200,0.2556,200,0.3827
300,0.9021,300,0.5178,300,0.3310,300,0.5201
400,1.1825,400,0.8343,400,0.4766,400,0.6829
500,1.4213,500,1.0197,500,0.5689,500,0.8212
600,1.4814,600,1.2176,600,0.6621,600,0.9619
700,1.4649,700,1.3990,700,0.7623,700,1.1046
800,1.4539,800,1.5702,800,0.8618,800,1.2587
900,1.4530,900,1.7356,900,0.9469,900,1.4038
1000,1.4487,1000,1.9006,1000,1.0340,1000,1.5427
1100,1.4497,1100,2.0557,1100,1.1196,1100,1.6795
1200,1.4503,1200,2.2033,1200,1.2008,1200,1.8181
1300,1.4449,1300,2.1586,1300,1.2769,1300,1.9592
1400,1.4500,1400,2.1627,1400,1.3527,1400,2.1092
1500,1.4487,1500,2.1584,1500,1.4016,1500,2.2572
